No,TKP,waktu kejadian,jenis kendaraan,tipe kecelakaan,penyebab,korban,tingkat korban,Jenis kecelakaan
1,Jl. DR. Djundjunan ,Sepi,R2,Tabrak Belakang,tidak tertib,Luka Ringan,rendah,Sedang
2,Jl. Kembar Barat ,Ramai,R4,Tabrak Samping,lengah,Luka Ringan,rendah,Sedang
3,Jl.PHH.Mustopa ,Ramai,R4,Tabrak Depan,tidak terampil,Luka Ringan,Tinggi,Sedang
4,Jl. Kopo ,Ramai,R2,Tabrak Samping,lengah,Meninggal dunia,rendah,Berat
5,Jl. AH.Nasution ,Sedang,R2,Tabrak Manusia,kecepatan tinggi,Luka Ringan,rendah,Sedang
6,Jl. Soekarno Hatta ,Ramai,R2,Tabrak Samping,tidak terampil,Luka Ringan,Tinggi,Sedang
7,Jl. Cihampelas ,Sepi,R4,Tabrak Belakang,lengah,Luka Berat,rendah,Berat
8,Jl. Terusan Pasir Koja ,Sedang,R4,Tabrak Belakang,tidak terampil,Luka Berat,rendah,Berat
9,Jl. Surapati                          ,Sedang,R2,Tabrak Belakang,lengah,Luka Ringan,rendah,Sedang
10,Jl.Cikapayang ,Ramai,R2,Tabrak Samping,tidak tertib,Luka Ringan,rendah,Sedang
11,Jl. Merdeka ,Sepi,R2,Tabrak Samping,tidak tertib,Meninggal dunia,rendah,Berat
12,Jl. Raya Cibeureum ,Sepi,R2,Tabrak Samping,tidak terampil,Luka Berat,rendah,Berat
13,Jl. PHH Mustofa ,Sepi,R2,Tabrak Samping,lengah,Luka Ringan,rendah,Sedang
14,Jl. DR.Setiabudhi ,Sepi,R2,Tabrak Samping,kecepatan tinggi,Meninggal dunia,rendah,Berat
15,Jl. Ir. H. Djuanda ,Sepi,R2,Tabrak Belakang,lengah,Luka Ringan,rendah,Sedang
16,Jl. Mohamad Toha ,Ramai,R2,Tabrak Samping,tidak terampil,Luka Ringan,rendah,Sedang
17,Jl. AH.Nasution ,Sedang,R2,Tabrak Samping,lengah,Luka Ringan,rendah,Sedang
18,Jl. Terusan Buahbtu ,Ramai,R2,Tabrak Manusia,lengah,Luka Ringan,rendah,Sedang
19,Jl. Cimindi Raya ,Sepi,R2,Tabrak Belakang,Mengantuk,Luka Ringan,rendah,Sedang
20,Jl. Bodogol depan ,Sedang,R2,Tabrak Manusia,lengah,Luka Ringan,rendah,Sedang
21,Jl. Rancabolang ,Sepi,R2,Tabrak Manusia,kecepatan tinggi,Meninggal dunia,rendah,Berat
22,Jl. DR.Setiabudhi ,Sepi,R2,Tabrak Belakang,Mengantuk,Luka Ringan,rendah,Sedang
23,Jl. Kopo ,Sepi,R2,Tabrak Depan,tidak tertib,Luka Ringan,Tinggi,Sedang
24,Jl. Pagarsih ,Ramai,R2,Tabrak Belakang,lengah,Luka Ringan,Tinggi,Sedang
25,Jl. Soekarno Hatta ,Sepi,R2,Tabrak Belakang,tidak tertib,Meninggal dunia,rendah,Berat
26,Jl. Abdurahman Saleh ,Sedang,R2,Tabrak Belakang,lengah,Luka Ringan,rendah,Sedang
27,Jl. Suryasumantri ,Sedang,R2,Tabrak Manusia,lengah,Luka Ringan,Tinggi,Sedang
28,Jl. Soekarno Hatta ,Ramai,R2,Tabrak Manusia,lengah,Luka Ringan,rendah,Sedang
29,Jl. AH.Nasution ,Sepi,R4,Tabrak Samping,tidak terampil,Luka Ringan,rendah,Sedang
30,Jl. AH.Nasution ,Sepi,R2,Tabrak Belakang,lengah,Luka Ringan,rendah,Sedang
31,Jl. AH.Nasution ,Sepi,R4,Tabrak Samping,tidak tertib,Luka Ringan,Tinggi,Sedang
32,Jl. Jendral Sudirman  ,Sepi,R2,Tabrak Manusia,kecepatan tinggi,Luka Ringan,Tinggi,Sedang
33,Jl. Holis ,Sepi,R2,Tabrak Samping,lengah,Luka Ringan,rendah,Sedang
34,Jl. RE.Martadinata ,Ramai,R2,Tabrak Samping,tidak tertib,Luka Ringan,Tinggi,Sedang
35,Jl. Antapani ,Sepi,R2,Tabrak Manusia,kecepatan tinggi,Luka Ringan,rendah,Sedang
36,Jl. DR.Setiabudhi                ,Sepi,R2,Tabrak Samping,tidak terampil,Luka Ringan,Tinggi,Sedang
37,Jl. Soekarno Hatta ,Ramai,R2,Tabrak Samping,tidak tertib,Luka Ringan,rendah,Sedang
38,Jl. Ahmad Yani                ,Sepi,R2,Tabrak Depan,Mengantuk,Luka Ringan,rendah,Sedang
39,Jl. Peta                            ,Sedang,R4,Tabrak Samping,tidak terampil,Luka Ringan,rendah,Sedang
40,Jl. Padjajaran                     ,Ramai,R2,Tabrak Samping,lengah,Luka Ringan,Tinggi,Sedang
41,Jl. Soekarno Hatta ,Sedang,R2,Tabrak Manusia,lengah,Luka Ringan,rendah,Sedang
42,Jl. Padjajaran                     ,Sepi,R2,Tabrak Samping,lengah,Luka Ringan,Tinggi,Sedang
43,Jl. Kebon Bibit ,Sedang,R2,Tabrak Manusia,lengah,Luka Ringan,rendah,Sedang
44,Jl. Soekarno Hatta ,Sedang,R2,Tabrak Belakang,lengah,Meninggal dunia,rendah,Berat
45,Jl. Rumah Sakit ,Sepi,R2,Tabrak Manusia,kecepatan tinggi,Luka Ringan,rendah,Sedang
46,Jl. Layang Pasupati,Sepi,R2,Tabrak Samping,tidak terampil,Luka Ringan,Tinggi,Sedang
47,Jl. Derwati,Sedang,R4,Tabrak Depan,penyebab lain,Luka Ringan,rendah,Sedang
48,Jl. Ahmad Yani ,Ramai,R2,Tabrak Samping,tidak terampil,Luka Ringan,rendah,Sedang
49,Jl. Gatot Soebroto ,Sepi,R2,Tabrak Depan,penyebab lain,Luka Ringan,Tinggi,Sedang
50,Jl. Ahmad Yani ,Sepi,R2,Tabrak Manusia,lengah,Luka Ringan,Tinggi,Sedang
51,Jl. Cipaganti ,Sepi,R4,Tabrak Samping,tidak terampil,Luka Ringan,rendah,Sedang
